"Symbol"	"Mutations"	"Samples"	"Samples (%)"	"Cohorts"
"ALK"	"37"	"36"	"6.41"	"5"
"ATRX"	"14"	"13"	"2.31"	"3"
"FBN2"	"8"	"7"	"1.25"	"1"
"PTPN11"	"8"	"7"	"1.25"	"1"
"NF1"	"12"	"5"	"0.89"	"2"
"PRUNE2"	"13"	"5"	"0.89"	"1"
"LRP1B"	"5"	"5"	"0.89"	"1"
"BCORL1"	"6"	"5"	"0.89"	"2"
"TP63"	"5"	"4"	"0.71"	"1"
"FBLN2"	"5"	"4"	"0.71"	"1"
"USP6"	"6"	"4"	"0.71"	"1"
"MYH9"	"3"	"3"	"0.53"	"1"
"FLT4"	"7"	"3"	"0.53"	"1"
"ERBB3"	"6"	"3"	"0.53"	"1"
"MSI2"	"3"	"3"	"0.53"	"1"
"KMT2D"	"5"	"3"	"0.53"	"1"
"PRDM2"	"4"	"3"	"0.53"	"1"
"TNC"	"7"	"3"	"0.53"	"1"
"DOT1L"	"5"	"3"	"0.53"	"1"
"NCOR1"	"2"	"2"	"0.36"	"1"
"TP53"	"6"	"2"	"0.36"	"1"
"MYCN"	"4"	"2"	"0.36"	"1"
"RANBP2"	"3"	"2"	"0.36"	"1"
"ETV4"	"3"	"2"	"0.36"	"1"
"MED12"	"3"	"2"	"0.36"	"1"
"MYO5A"	"4"	"2"	"0.36"	"1"
"CHD4"	"3"	"2"	"0.36"	"1"
"SMARCB1"	"2"	"2"	"0.36"	"1"
