#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-28 (06:30:46)
#Dataset: ps_bell_jb1912c97_ensh38e98
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 75/264
#Subset: WITH_SURV (n=95)
#Subset_string: WITH_SURV:f______9________gA
#Survival: overall
#filter: manual gene selection (304)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000144339	TMEFF2	0.00037766388	29.9524	low
ENSG00000170419	VSTM2A	0.000504615692307692	259.3195	low
ENSG00000158292	GPR153	0.0005318896	65.206	low
ENSG00000117298	ECE1	0.00054858	107.6561	low
ENSG00000186472	PCLO	0.00058975136	446.9557	low
ENSG00000158828	PINK1	0.000603438	28.6677	low
ENSG00000078328	RBFOX1	0.000612753428571429	70.317	low
ENSG00000156639	ZFAND3	0.000670486666666667	101.326	low
ENSG00000090238	YPEL3	0.0007542975	51.8837	low
ENSG00000122679	RAMP3	0.00075532776	19.5657	low
ENSG00000140848	CPNE2	0.000862054285714286	120.6455	low
ENSG00000198400	NTRK1	0.00100573	157.4466	low
ENSG00000178209	PLEC	0.001206876	176.6897	low
ENSG00000158856	DMTN	0.001508595	47.2026	low
ENSG00000109099	PMP22	0.00201146	134.1225	low
ENSG00000124357	NAGK	0.00216613056	64.8272	low
ENSG00000155256	ZFYVE27	0.00219393182608696	63.0732	low
ENSG00000179862	CITED4	0.002242603	3.5844	low
ENSG00000067606	PRKCZ	0.00225657046153846	37.2345	low
ENSG00000080031	PTPRH	0.002293656	61.6342	low
ENSG00000171608	PIK3CD	0.00231505768421053	48.6848	low
ENSG00000005469	CROT	0.00232466666666667	15.4677	low
ENSG00000158195	WASF2	0.002385372	124.946	low
ENSG00000069966	GNB5	0.00240287771428571	45.7003	low
ENSG00000205593	DENND6B	0.0024131184	30.5609	low
ENSG00000120306	CYSTM1	0.00246450211764706	12.6895	low
ENSG00000010278	CD9	0.0026185335	54.2706	low
ENSG00000158555	GDPD5	0.0028296312	46.47	low
ENSG00000175874	CREG2	0.00284099828571429	7.5386	low
ENSG00000170653	ATF7	0.00290877020689655	48.6985	low
ENSG00000186603	HPDL	0.00717395303225806	4.5644	high
ENSG00000121064	SCPEP1	0.007370912	28.902	low
ENSG00000124570	SERPINB6	0.00740656525714286	52.0094	low
ENSG00000181045	SLC26A11	0.007420446	60.4855	low
ENSG00000019582	CD74	0.00746671976470588	449.454	low
ENSG00000139112	GABARAPL1	0.00757901189189189	36.8997	low
ENSG00000198944	SOWAHA	0.007601253	3.9454	low
ENSG00000140284	SLC27A2	0.00760340307692308	4.3833	high
ENSG00000100095	SEZ6L	0.00762073714285714	307.8185	low
ENSG00000174469	CNTNAP2	0.00773714526315789	239.3825	low
ENSG00000167535	CACNB3	0.00778954	93.6447	low
ENSG00000197956	S100A6	0.00780660878048781	11.0966	low
ENSG00000119632	IFI27L2	0.00789102139534884	7.3062	low
ENSG00000075884	ARHGAP15	0.00797706	8.6117	low
ENSG00000139725	RHOF	0.0080758747826087	3.1944	low
ENSG00000138175	ARL3	0.00809312533333333	42.2671	low
ENSG00000008300	CELSR3	0.00830555234042553	326.9309	low
ENSG00000154511	FAM69A	0.00860704653061225	11.8531	low
ENSG00000101460	MAP1LC3A	0.00878636	24.2592	low
ENSG00000167103	PIP5KL1	0.0099075504	10.0186	low
ENSG00000224051	CPTP	0.0234170070588235	9.3197	low
ENSG00000197177	ADGRA1	0.0249074535849057	31.548	low
ENSG00000140022	STON2	0.0250725876923077	54.3426	low
ENSG00000091127	PUS7	0.0266558021052632	14.8953	high
ENSG00000179163	FUCA1	0.0270048533333333	21.6408	low
ENSG00000054356	PTPRN	0.0270351085714286	154.5555	low
ENSG00000160055	TMEM234	0.027053184	16.245	low
ENSG00000171798	KNDC1	0.02723378625	33.6656	low
ENSG00000215612	HMX1	0.0275730116129032	20.6378	low
ENSG00000115355	CCDC88A	0.0276149028571429	172.6387	low
ENSG00000106733	NMRK1	0.027680928	6.6613	low
ENSG00000184678	HIST2H2BE	0.027833252173913	134.195	high
ENSG00000131069	ACSS2	0.0279303325714286	32.9736	low
ENSG00000129003	VPS13C	0.028001571147541	141.4106	low
ENSG00000102805	CLN5	0.028128276	24.1611	low
ENSG00000120800	UTP20	0.0282425647058824	44.1773	high
ENSG00000170915	PAQR8	0.0283465301694915	33.3057	low
ENSG00000123091	RNF11	0.0284045793103448	44.5461	low
ENSG00000198947	DMD	0.0285276035820896	52.0133	low
ENSG00000160691	SHC1	0.0286184	223.8006	low
ENSG00000170365	SMAD1	0.0300197374647887	48.7562	low
ENSG00000129194	SOX15	0.0308181133333333	10.9464	low
ENSG00000073910	FRY	0.0317317150684931	198.8545	low
ENSG00000144550	CPNE9	0.0323959037837838	8.3456	low
ENSG00000171206	TRIM8	0.035460832	65.2925	low
