#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-28 (06:33:45)
#Dataset: ps_avgpres_2010fwr144_gencode19
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 80/271
#Subset: WITH_SURV (n=139)
#Subset_string: WITH_SURV:___________________-D___
#Survival: overall
#filter: manual gene selection (304)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000158555.10	GDPD5	1.64108386e-05	11.378	low
ENSG00000158856.13	DMTN	2.669079e-05	30.651	low
ENSG00000158292.6	GPR153	0.000207102265	20.828	low
ENSG00000139112.6	GABARAPL1	0.00024004909	33.902	low
ENSG00000167535.3	CACNB3	0.000252155744	77.789	low
ENSG00000129194.3	SOX15	0.0003580452	8.049	low
ENSG00000091127.9	PUS7	0.000374449733333333	40.026	high
ENSG00000158828.5	PINK1	0.00061550875	25.292	low
ENSG00000198400.7	NTRK1	0.000623153208333333	91.755	low
ENSG00000163481.3	RNF25	0.00064523745	47.892	low
ENSG00000067606.11	PRKCZ	0.000659727327272727	7.024	low
ENSG00000152137.2	HSPB8	0.000667877415384615	5.423	low
ENSG00000123091.4	RNF11	0.000669292571428571	68.105	low
ENSG00000137267.5	TUBB2A	0.000686468293333333	315.069	low
ENSG00000005469.7	CROT	0.000691268226315789	21.035	low
ENSG00000005486.12	RHBDD2	0.000693666655555555	80.134	low
ENSG00000175874.5	CREG2	0.000695452244444444	4.392	low
ENSG00000186094.12	AGBL4	0.000697522117647059	1.876	low
ENSG00000170419.6	VSTM2A	0.00072301275625	99.876	low
ENSG00000140848.12	CPNE2	0.000994397915	65.104	low
ENSG00000090238.7	YPEL3	0.00120134669545455	119.524	low
ENSG00000137996.8	RTCA	0.00120447885714286	45.363	low
ENSG00000162426.10	SLC45A1	0.00140633682608696	10.437	low
ENSG00000060688.8	SNRNP40	0.00159586254166667	27.466	low
ENSG00000101460.8	MAP1LC3A	0.00171717065384615	155.928	low
ENSG00000058799.9	YIPF1	0.00176470864	31.832	low
ENSG00000167103.7	PIP5KL1	0.0023456957037037	21.12	low
ENSG00000243284.1	VSIG8	0.00258689825	1.685	low
ENSG00000181045.10	SLC26A11	0.00327993691176471	38.5	low
ENSG00000162517.8	PEF1	0.0032963898	60.303	low
ENSG00000182986.8	ZNF320	0.00330437690909091	60.318	high
ENSG00000171798.13	KNDC1	0.00331846975862069	26.221	low
ENSG00000224165.1	DNAJC27-AS1	0.00332929428125	4.905	low
ENSG00000184779.8	RPS17	0.00339690632258065	4.754	high
ENSG00000173457.6	PPP1R14B	0.00452838677142857	245.913	high
ENSG00000111737.7	RAB35	0.00461249527777778	80.546	low
ENSG00000139636.11	LMBR1L	0.00516462278378378	91.414	low
ENSG00000144550.8	CPNE9	0.00622250944736842	3.942	low
ENSG00000109099.9	PMP22	0.00702055243902439	273.282	low
ENSG00000140284.6	SLC27A2	0.007128926	11.759	high
ENSG00000152208.7	GRID2	0.00726641333333333	1.838	low
ENSG00000106992.13	AK1	0.00728802384615385	13.799	low
ENSG00000170653.14	ATF7	0.00732267209302326	25.345	low
ENSG00000179862.5	CITED4	0.0095629125	16.731	low
ENSG00000127603.19	MACF1	0.00970091630434783	28.116	low
ENSG00000159348.8	CYB5R1	0.00973666866666667	32.852	low
ENSG00000080031.5	PTPRH	0.00974008595744681	47.631	low
ENSG00000186472.15	PCLO	0.0118569275	8.806	low
ENSG00000105290.7	APLP1	0.0123938255102041	332.995	low
ENSG00000117118.5	SDHB	0.0125997464705882	36.187	low
ENSG00000171608.11	PIK3CD	0.0126633422	35.06	low
ENSG00000205593.7	DENND6B	0.0130812221153846	48.426	low
ENSG00000162188.5	GNG3	0.013348488490566	106.888	low
ENSG00000167552.9	TUBA1A	0.0135578790740741	2287.79	low
ENSG00000163006.7	CCDC138	0.014186308	14.711	high
ENSG00000254093.4	PINX1	0.0146298866071429	9.769	high
ENSG00000215612.5	HMX1	0.0149836850877193	100.141	low
ENSG00000235863.2	B3GALT4	0.0151383403448276	9.066	low
ENSG00000156639.7	ZFAND3	0.0180685345762712	121.721	low
ENSG00000115355.11	CCDC88A	0.0180905146666667	57.036	low
ENSG00000067221.9	STOML1	0.0189815508196721	19.432	low
ENSG00000129946.6	SHC2	0.0192883174603175	210.423	low
ENSG00000143933.12	CALM2	0.0195758161290323	360.601	low
ENSG00000073910.15	FRY	0.0214067134375	9.003	low
ENSG00000118965.10	WDR35	0.0214424502985075	33.292	high
ENSG00000116661.9	FBXO2	0.021564168030303	3.787	low
ENSG00000154511.7	FAM69A	0.0218556496923077	13.797	low
ENSG00000100968.9	NFATC4	0.0219407577941176	37.929	high
ENSG00000174469.13	CNTNAP2	0.0232457908695652	48.09	low
ENSG00000155256.13	ZFYVE27	0.0244158998571429	87.337	low
ENSG00000170545.12	SMAGP	0.0318473177777778	2.661	low
ENSG00000078328.15	RBFOX1	0.0322594583098592	23.793	low
ENSG00000116717.7	GADD45A	0.0339718546575343	29.282	low
ENSG00000118960.8	HS1BP3	0.0343913648648649	8.365	low
ENSG00000129003.11	VPS13C	0.0363971066666667	21.58	low
ENSG00000008300.10	CELSR3	0.0382766105263158	140.127	low
ENSG00000179163.11	FUCA1	0.0398260896103896	52.918	low
ENSG00000253729.3	PRKDC	0.0401795717948718	64.02	high
ENSG00000137947.7	GTF2B	0.0417607569620253	38.524	low
ENSG00000144339.7	TMEFF2	0.04796666125	22.046	low
