#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-26 (12:57:10)
#Dataset: ps_bell_jb1912b97_ensh38e98
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 31/94
#Subset: WITH_SURV (n=95)
#Subset_string: WITH_SURV:f______9________gA
#Survival: overall
#filter: manual gene selection (96)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000116396	KCNC4	1.6608954e-09	34.6933	low
ENSG00000116983	HPCAL4	2.1403142e-09	9.402	low
ENSG00000115935	WIPF1	2.0292156e-08	17.3373	low
ENSG00000169213	RAB3B	1.0233404e-07	15.6249	low
ENSG00000170419	VSTM2A	1.2059636e-06	20.1379	low
ENSG00000074964	ARHGEF10L	7.728492e-06	52.5594	low
ENSG00000198400	NTRK1	4.5443125e-05	40.8292	low
ENSG00000080031	PTPRH	4.592088e-05	11.2691	low
ENSG00000070182	SPTB	5.6597024e-05	35.4465	low
ENSG00000205710	C17ORF107	6.11934777777778e-05	1.5855	low
ENSG00000272636	DOC2B	0.000113341781818182	79.6265	low
ENSG00000158828	PINK1	0.000179050416666667	28.6677	low
ENSG00000197879	MYO1C	0.000350452969230769	80.0761	low
ENSG00000221978	CCNL2	0.000482068257142857	49.1571	low
ENSG00000087085	ACHE	0.000829449733333333	30.1198	low
ENSG00000178028	DMAP1	0.001721674625	24.0815	low
ENSG00000186591	UBE2H	0.00552119444444444	142.6493	low
ENSG00000128805	ARHGAP22	0.00558708352941176	16.4896	low
ENSG00000140848	CPNE2	0.00747340869565217	120.6455	low
ENSG00000140199	SLC12A6	0.007618888	82.1208	low
ENSG00000174705	SH3PXD2B	0.00763839523809524	46.6376	low
ENSG00000090238	YPEL3	0.00781310909090909	51.8837	low
ENSG00000101460	MAP1LC3A	0.00790352	24.2592	low
ENSG00000166224	SGPL1	0.010488144	113.9278	low
ENSG00000186501	TMEM222	0.0106151458333333	33.7761	low
ENSG00000116544	DLGAP3	0.0109118092307692	7.6955	low
ENSG00000113594	LIFR	0.0111564074074074	13.348	low
ENSG00000169926	KLF13	0.0302848528571429	67.2152	low
ENSG00000165633	VSTM4	0.0396287793103448	20.0301	low
ENSG00000175264	CHST1	0.0397811133333333	65.6361	low
ENSG00000204316	MRPL38	0.0484918709677419	10.2791	high
