#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-26 (14:26:22)
#Dataset: ps_avgpres_2010fwr144_gencode19
#Kaplan_modus: scan
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 33/90
#Subset: WITH_SURV (n=139)
#Subset_string: WITH_SURV:___________________-D___
#Survival: overall
#filter: manual gene selection (96)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000159479.12	MED8	6.740523e-10	20.822	low
ENSG00000074964.12	ARHGEF10L	4.677255e-06	56.906	low
ENSG00000116983.8	HPCAL4	1.689075e-05	3.962	low
ENSG00000163481.3	RNF25	0.000238095	47.892	low
ENSG00000198400.7	NTRK1	0.0002483415	91.755	low
ENSG00000186591.7	UBE2H	0.000265924125	115.539	low
ENSG00000116396.9	KCNC4	0.000271712571428571	3.412	low
ENSG00000180098.5	TRNAU1AP	0.000276822	19.47	low
ENSG00000137267.5	TUBB2A	0.000284973	315.069	low
ENSG00000087085.9	ACHE	0.000288057	58.43	low
ENSG00000170419.6	VSTM2A	0.000295526076923077	99.876	low
ENSG00000126698.6	DNAJC8	0.00029558025	67.279	low
ENSG00000158828.5	PINK1	0.00032706	25.292	low
ENSG00000140848.12	CPNE2	0.0004717755	65.104	low
ENSG00000178028.9	DMAP1	0.000526932	65.133	low
ENSG00000090238.7	YPEL3	0.0005485854375	119.524	low
ENSG00000111653.15	ING4	0.000835185789473684	89.696	low
ENSG00000101460.8	MAP1LC3A	0.00087219	155.928	low
ENSG00000205710.3	C17ORF107	0.000876465	2.388	low
ENSG00000070182.13	SPTB	0.001051488	10.38	low
ENSG00000146966.8	DENND2A	0.00156981	32.168	low
ENSG00000169213.6	RAB3B	0.00300378272727273	38.4	low
ENSG00000186501.10	TMEM222	0.0044784	46.169	low
ENSG00000157423.13	HYDIN	0.0046301625	1.317	low
ENSG00000221978.7	CCNL2	0.005426352	126.36	low
ENSG00000080031.5	PTPRH	0.00584736923076923	47.631	low
ENSG00000116212.10	LRRC42	0.0103907571428571	27.412	low
ENSG00000215612.5	HMX1	0.0105051666666667	100.141	low
ENSG00000136274.8	NACAD	0.0173073413793103	178.456	low
ENSG00000197879.10	MYO1C	0.02394696	49.713	low
ENSG00000170545.12	SMAGP	0.0245650064516129	2.661	low
ENSG00000140199.7	SLC12A6	0.0357136875	27.855	low
ENSG00000106976.14	DNM1	0.0376925454545455	169.692	low
