#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-26 (14:22:20)
#Dataset: ps_avgpres_nbadam88_u133p2
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 30/96
#Survival: overall-c1103
#filter: manual gene selection (114)
#H:probeset	hugo	pvalue	express	sublist
236308_at	VSTM2A	5.594304e-08	511.7	low
226281_at	DNER	7.379168e-08	104.7	low
1569631_at	NMNAT1	8.90016e-08	20.2	low
208300_at	PTPRH	5.168784e-07	26	low
201005_at	CD9	1.12200576e-06	461	low
204035_at	SCG2	2.48818285714286e-06	965.2	low
227219_x_at	MAP1LC3A	2.80536e-06	170.1	low
227123_at	RAB3B	6.349236e-06	106.4	low
212322_at	SGPL1	8.237312e-05	278.2	low
48825_at	ING4	8.3144352e-05	149.4	low
221217_s_at	RBFOX1	0.000102325527272727	119.7	low
204141_at	TUBB2A	0.0001154984	2421.6	low
207957_s_at	PRKCB	0.000209351630769231	164.2	low
201805_at	PRKAG1	0.000503664685714286	147.8	low
208786_s_at	MAP1LC3B	0.0007463552	609.1	low
219671_at	HPCAL4	0.000818148	59.8	low
218611_at	IER5	0.00188977129411765	225.3	high
205545_x_at	DNAJC8	0.00352050666666667	427	low
202331_at	BCKDHA	0.00481308126315789	117.2	high
227108_at	STARD9	0.006552384	48	low
222999_s_at	CCNL2	0.00662333217391304	827.9	low
202037_s_at	SFRP1	0.00662345142857143	471.3	low
233748_x_at	PRKAG2	0.00681988363636364	82.7	low
205377_s_at	ACHE	0.00711952	10.9	low
208678_at	ATP6V1E1	0.00964316307692308	455.9	low
218977_s_at	TRNAU1AP	0.0098836608	110.3	low
223179_at	YPEL3	0.0123858844444444	244.8	low
227679_at	HDAC11	0.0148644685714286	41.9	low
220138_at	HAND1	0.0187276468965517	110.4	low
230002_at	GPSM2	0.03712608	152.2	low
