#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-28 (05:25:54)
#Dataset: ps_avgpres_2010fwr144_gencode19
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 43/163
#Subset: WITH_SURV (n=139)
#Subset_string: WITH_SURV:___________________-D___
#Survival: overall
#filter: manual gene selection (179)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000227533.1	SLC2A1-AS1	1.9463667e-07	1.277	low
ENSG00000074964.12	ARHGEF10L	8.4710285e-06	56.906	low
ENSG00000122756.10	CNTFR	0.000133507595	357.804	low
ENSG00000139112.6	GABARAPL1	0.00014438377	33.902	low
ENSG00000157445.10	CACNA2D3	0.00034737908	22.866	low
ENSG00000163481.3	RNF25	0.000554421214285714	47.892	low
ENSG00000116396.9	KCNC4	0.0005741186	3.412	low
ENSG00000175874.5	CREG2	0.00094117015	4.392	low
ENSG00000198399.10	ITSN2	0.00160703167	17.762	low
ENSG00000187688.10	TRPV2	0.0017526738	15.874	low
ENSG00000162426.10	SLC45A1	0.00176865372727273	10.437	low
ENSG00000181234.8	TMEM132C	0.00252537258333333	4.963	low
ENSG00000070182.13	SPTB	0.00272051657142857	10.38	low
ENSG00000126524.5	SBDS	0.00275935093333333	117.251	low
ENSG00000167703.10	SLC43A2	0.00292844546153846	17.56	low
ENSG00000231595.1	AC005224.2	0.003848654125	2.64	low
ENSG00000182986.8	ZNF320	0.00385809494117647	60.318	high
ENSG00000139714.8	MORN3	0.005355202	5.629	low
ENSG00000171130.13	ATP6V0E2	0.0053856572631579	97.891	low
ENSG00000109906.9	ZBTB16	0.005446971	3.748	low
ENSG00000169213.6	RAB3B	0.00569924066666667	38.4	low
ENSG00000152208.7	GRID2	0.00679866962962963	1.838	low
ENSG00000019505.3	SYT13	0.00684430730769231	51.993	low
ENSG00000132906.13	CASP9	0.00686752958333333	9.17	low
ENSG00000197694.9	SPTAN1	0.0069880056	472.443	low
ENSG00000197208.5	SLC22A4	0.007045023	9.557	low
ENSG00000147459.13	DOCK5	0.00717931277272727	11.653	high
ENSG00000221978.7	CCNL2	0.00877475571428571	126.36	low
ENSG00000186472.15	PCLO	0.011410652	8.806	low
ENSG00000185189.11	NRBP2	0.0116103213793103	114.233	low
ENSG00000095383.15	TBC1D2	0.0128878841935484	11.61	low
ENSG00000254093.4	PINX1	0.0153991703125	9.769	high
ENSG00000215612.5	HMX1	0.015566746969697	100.141	low
ENSG00000008283.11	CYB561	0.0227766611764706	51.84	low
ENSG00000170634.8	ACYP2	0.0255614788888889	6.168	low
ENSG00000091129.15	NRCAM	0.0259707434285714	112.944	low
ENSG00000079841.14	RIMS1	0.0273956302702703	6.078	low
ENSG00000164741.10	DLC1	0.0285770742105263	59.362	low
ENSG00000110514.14	MADD	0.0287262005128205	112.504	low
ENSG00000141744.3	PNMT	0.03039839975	10.847	low
ENSG00000114270.11	COL7A1	0.0335290611904762	24.158	low
ENSG00000171914.10	TLN2	0.0337406024390244	68.892	low
ENSG00000264575.1	LINC00526	0.040677976744186	16.242	low
