#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-26 (13:03:18)
#Dataset: ps_bell_jb1912b97_ensh38e98
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 38/106
#Subset: WITH_SURV (n=95)
#Subset_string: WITH_SURV:f______9________gA
#Survival: overall
#filter: manual gene selection (114)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000116396	KCNC4	1.8729246e-09	34.6933	low
ENSG00000110693	SOX6	2.28334246666667e-09	17.3162	low
ENSG00000116983	HPCAL4	2.4135458e-09	9.402	low
ENSG00000116254	CHD5	1.1452028e-07	42.2791	low
ENSG00000169213	RAB3B	1.1539796e-07	15.6249	low
ENSG00000162552	WNT4	1.16318216666667e-07	10.9538	low
ENSG00000158555	GDPD5	2.23876542857143e-07	18.8781	low
ENSG00000149295	DRD2	4.055507e-06	38.477	low
ENSG00000080031	PTPRH	4.027576e-05	11.2691	low
ENSG00000163932	PRKCD	5.75446054545455e-05	9.4494	low
ENSG00000205710	C17ORF107	6.210487e-05	1.5855	low
ENSG00000144339	TMEFF2	6.77431866666667e-05	22.2118	low
ENSG00000139998	RAB15	9.49466461538461e-05	19.145	low
ENSG00000106772	PRUNE2	0.000125059506666667	24.7394	low
ENSG00000158109	TPRG1L	0.000126209657142857	6.3107	low
ENSG00000231925	TAPBP	0.0001267859375	24.2337	low
ENSG00000005238	FAM214B	0.000303703094117647	17.1018	low
ENSG00000221978	CCNL2	0.000422806911111111	49.1571	low
ENSG00000181585	TMIE	0.000647035157894737	5.1489	low
ENSG00000132359	RAP1GAP2	0.00149887028571429	178.0246	low
ENSG00000178028	DMAP1	0.0015531703	24.0815	low
ENSG00000215644	GCGR	0.00275771045454545	2.5918	low
ENSG00000163517	HDAC11	0.00614025739130435	12.1249	low
ENSG00000101460	MAP1LC3A	0.00705571333333333	24.2592	low
ENSG00000090238	YPEL3	0.007753264	51.8837	low
ENSG00000196747	HIST1H2AI	0.00981136	111.0153	high
ENSG00000078328	RBFOX1	0.01020568	70.317	low
ENSG00000166224	SGPL1	0.0105598714285714	113.9278	low
ENSG00000116544	DLGAP3	0.0110318951724138	7.6955	low
ENSG00000108684	ASIC2	0.011742044	14.2764	low
ENSG00000279170	TSTD3	0.0155034232258065	5.1479	low
ENSG00000104332	SFRP1	0.0155630525	140.2214	low
ENSG00000140941	MAP1LC3B	0.0216806296969697	54.5683	low
ENSG00000196972	SMIM10L2B	0.0245143171428571	9.0354	low
ENSG00000115255	REEP6	0.0245247835294118	3.7661	low
ENSG00000165633	VSTM4	0.0359984833333333	20.0301	low
ENSG00000100968	NFATC4	0.0467319621621622	68.1647	high
ENSG00000088280	ASAP3	0.0493625263157895	10.9433	low
