#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-26 (14:33:02)
#Dataset: ps_avgpres_2010fwr144_gencode19
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 36/101
#Subset: WITH_SURV (n=139)
#Subset_string: WITH_SURV:___________________-D___
#Survival: overall
#filter: manual gene selection (114)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000159479.12	MED8	7.5643647e-10	20.822	low
ENSG00000158555.10	GDPD5	3.0581083e-06	11.378	low
ENSG00000158109.10	TPRG1L	4.74575433333333e-06	23.278	low
ENSG00000116983.8	HPCAL4	1.1373105e-05	3.962	low
ENSG00000110693.11	SOX6	1.2411991e-05	1.316	low
ENSG00000162552.10	WNT4	9.36450116666667e-05	3.156	low
ENSG00000139998.10	RAB15	0.00013239585	78.623	low
ENSG00000117410.9	ATP6V0B	0.0001478135	64.028	low
ENSG00000116396.9	KCNC4	0.000237161466666667	3.412	low
ENSG00000137267.5	TUBB2A	0.00038376364	315.069	low
ENSG00000178028.9	DMAP1	0.000806365636363636	65.133	low
ENSG00000090238.7	YPEL3	0.000820846358333333	119.524	low
ENSG00000111653.15	ING4	0.0011130010625	89.696	low
ENSG00000205710.3	C17ORF107	0.0011803062	2.388	low
ENSG00000101460.8	MAP1LC3A	0.00118853192857143	155.928	low
ENSG00000116254.13	CHD5	0.00127775876923077	143.63	low
ENSG00000181585.3	TMIE	0.00145335435294118	14.378	low
ENSG00000163932.9	PRKCD	0.0022962855	25.27	low
ENSG00000169213.6	RAB3B	0.0037080029	38.4	low
ENSG00000139636.11	LMBR1L	0.00374833857894737	91.414	low
ENSG00000157423.13	HYDIN	0.00593836714285714	1.317	low
ENSG00000221978.7	CCNL2	0.00691996909090909	126.36	low
ENSG00000159348.8	CYB5R1	0.00709981695652174	32.852	low
ENSG00000080031.5	PTPRH	0.007108885	47.631	low
ENSG00000186654.16	PRR5	0.0125190712	5.676	low
ENSG00000116212.10	LRRC42	0.0125577184615385	27.412	low
ENSG00000140941.8	MAP1LC3B	0.0132430825925926	67.255	low
ENSG00000100968.9	NFATC4	0.0198588725	37.929	high
ENSG00000170545.12	SMAGP	0.0284863093333333	2.661	low
ENSG00000078328.15	RBFOX1	0.0294353703448276	23.793	low
ENSG00000172554.7	SNTG2	0.0337542	1.208	low
ENSG00000005238.15	FAM214B	0.0340721870967742	12.563	low
ENSG00000144339.7	TMEFF2	0.0433378757575758	22.046	low
ENSG00000149295.9	DRD2	0.0493099314285714	7.714	low
ENSG00000159176.9	CSRP1	0.0497498702702703	21.975	low
ENSG00000112561.13	TFEB	0.0497565277777778	11.164	low
