#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-04-17 (07:12:22)
#Dataset: ps_avgpres_2010fwr144_gencode19
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 16/51
#Subset: WITH_SURV (n=139)
#Subset_string: WITH_SURV:___________________-D___
#Survival: overall
#filter: manual gene selection (0)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000175832.8	ETV4	5.960914e-05	10.029	high
ENSG00000141510.11	TP53	6.863886e-05	93.411	high
ENSG00000099810.14	MTAP	9.528687e-05	24.651	high
ENSG00000198400.7	NTRK1	0.0002814537	91.755	low
ENSG00000134323.10	MYCN	0.0002918679	1377.133	high
ENSG00000105173.9	CCNE1	0.0003349799	21.546	high
ENSG00000157764.8	BRAF	0.000770369571428571	24.021	low
ENSG00000141027.16	NCOR1	0.0012735975	38.131	low
ENSG00000165731.13	RET	0.00349573833333333	18.098	high
ENSG00000116731.18	PRDM2	0.0040350282	23.681	low
ENSG00000196712.12	NF1	0.00591164181818182	24.154	low
ENSG00000117713.13	ARID1A	0.00622115	141.928	low
ENSG00000197535.10	MYO5A	0.0175204223076923	40.755	low
ENSG00000168702.12	LRP1B	0.0204748607142857	1.085	low
ENSG00000066468.16	FGFR2	0.02148256	5.611	high
ENSG00000198793.8	MTOR	0.031326845625	31.009	low
