#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-29 (16:07:54)
#Dataset: ps_avgpres_2010fwr144_gencode19
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 26/106
#Subset: WITH_SURV (n=139)
#Subset_string: WITH_SURV:___________________-D___
#Survival: overall
#filter: manual gene selection (111)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000158856.13	DMTN	2.087988e-05	30.651	low
ENSG00000109107.9	ALDOC	6.440083e-05	17.133	low
ENSG00000139112.6	GABARAPL1	9.389374e-05	33.902	low
ENSG00000198400.7	NTRK1	0.00073122775	91.755	low
ENSG00000179761.7	PIPOX	0.00129991686666667	4.04	low
ENSG00000187688.10	TRPV2	0.00146542577142857	15.874	low
ENSG00000159713.6	TPPP3	0.00148910708	12.136	low
ENSG00000106211.8	HSPB1	0.0018819664	196.525	low
ENSG00000135525.14	MAP7	0.00202410975	57.332	low
ENSG00000205710.3	C17ORF107	0.002064562	2.388	low
ENSG00000184779.8	RPS17	0.00374445963636364	4.754	high
ENSG00000165646.7	SLC18A2	0.00528104366666667	20.91	low
ENSG00000125355.11	TMEM255A	0.00539400569230769	9.558	low
ENSG00000132386.6	SERPINF1	0.00545684971428571	346.79	high
ENSG00000109099.9	PMP22	0.00662281764705882	273.282	low
ENSG00000112759.12	SLC29A1	0.00669301666666667	206.567	low
ENSG00000183287.9	CCBE1	0.00697433625	7.056	low
ENSG00000106992.13	AK1	0.007411732	13.799	low
ENSG00000080031.5	PTPRH	0.00942418105263158	47.631	low
ENSG00000254093.4	PINX1	0.016022695	9.769	high
ENSG00000166947.7	EPB42	0.0231766476190476	3.435	low
ENSG00000244041.3	LINC01011	0.0232522563636364	6.842	low
ENSG00000092929.7	UNC13D	0.0245978069565217	27.514	low
ENSG00000139211.5	AMIGO2	0.0379553758333333	16.612	low
ENSG00000145861.7	C1QTNF2	0.0411222336	11.213	low
ENSG00000173809.11	TDRD12	0.0420391923076923	1.979	low
