#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-28 (05:31:38)
#Dataset: ps_avgpres_2010fwr144_gencode19
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 28/71
#Subset: WITH_SURV (n=139)
#Subset_string: WITH_SURV:___________________-D___
#Survival: overall
#filter: manual gene selection (76)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000077549.13	CAPZB	5.1068667e-05	102.322	low
ENSG00000054523.12	KIF1B	0.000206954705	80.393	low
ENSG00000005469.7	CROT	0.000860259075	21.035	low
ENSG00000115306.11	SPTBN1	0.000893088883333333	95.962	low
ENSG00000187688.10	TRPV2	0.000981558771428571	15.874	low
ENSG00000103034.10	NDRG4	0.00099537314	124.314	low
ENSG00000170419.6	VSTM2A	0.00101026136666667	99.876	low
ENSG00000135525.14	MAP7	0.001355771625	57.332	low
ENSG00000181585.3	TMIE	0.00144735866666667	14.378	low
ENSG00000181234.8	TMEM132C	0.00146667855555556	4.963	low
ENSG00000160058.14	BSDC1	0.00152767472727273	106.494	low
ENSG00000132821.7	VSTM2L	0.00155201084615385	52.324	low
ENSG00000152932.6	RAB3C	0.0016710418	46.892	low
ENSG00000166794.4	PPIB	0.0116654014285714	315.825	high
ENSG00000143933.12	CALM2	0.0187047411764706	360.601	low
ENSG00000180176.10	TH	0.01874000625	676.977	low
ENSG00000159214.8	CCDC24	0.019172556	6.382	low
ENSG00000058404.15	CAMK2B	0.0197609961111111	37.794	low
ENSG00000091129.15	NRCAM	0.0208386494736842	112.944	low
ENSG00000165434.6	PGM2L1	0.027212525	25.636	low
ENSG00000196782.8	MAML3	0.0288140652380952	92.394	low
ENSG00000165983.10	PTER	0.038747256	4.217	low
ENSG00000120885.15	CLU	0.0388465576923077	90.008	low
ENSG00000027869.7	SH2D2A	0.0391939363636364	7.207	low
ENSG00000123454.6	DBH	0.0397676916666667	1747.212	low
ENSG00000164742.10	ADCY1	0.0405731043478261	99.533	low
ENSG00000132437.13	DDC	0.0427861777777778	82.496	low
ENSG00000119729.6	RHOQ	0.0475474321428571	75.58	low
