#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-28 (06:32:32)
#Dataset: ps_avgpres_nbadam88_u133p2
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 90/253
#Survival: overall-c1103
#filter: manual gene selection (304)
#H:probeset	hugo	pvalue	express	sublist
210139_s_at	PMP22	1.64202313e-14	1385.9	low
218984_at	PUS7	2.80085336666667e-10	270.5	high
209247_s_at	ABCF2	3.47312075e-10	208.4	high
208605_s_at	NTRK1	2.565211275e-08	129.6	low
236308_at	VSTM2A	2.9486644e-08	511.7	low
231489_x_at	CREG2	3.75836138333333e-08	2.8	low
204573_at	CROT	6.013715125e-08	265.1	low
1569631_at	NMNAT1	6.70160857142857e-08	20.2	low
200055_at	TAF10	1.3325763e-07	455.5	high
229332_at	HPDL	1.42264711111111e-07	26.2	high
213689_x_at	FAM69A	2.100268e-07	205.3	low
202178_at	PRKCZ	2.50234515384615e-07	193.2	low
208694_at	PRKDC	2.58833758333333e-07	656.1	high
218231_at	NAGK	2.72692435714286e-07	339.4	low
208300_at	PTPRH	3.63250653333333e-07	26	low
208869_s_at	GABARAPL1	7.368656625e-07	158.7	low
201005_at	CD9	8.69691964705882e-07	461	low
223557_s_at	TMEFF2	1.24066561666667e-06	457.2	low
1564207_at	LINC00957	2.25373604761905e-06	170.1	low
223907_s_at	PINX1	2.28014985e-06	115.3	high
227219_x_at	MAP1LC3A	2.33472394736842e-06	170.1	low
225129_at	CPNE2	2.6764065e-06	322.7	low
208924_at	RNF11	3.454946e-06	799.4	low
225045_at	CCDC88A	4.14267470833333e-06	703.2	low
209725_at	UTP20	6.7807036e-06	71.1	high
203306_s_at	SLC35A1	9.75626384615385e-06	600.4	low
230359_at	KNDC1	1.08238085185185e-05	15.2	low
201771_at	SCAMP3	1.12633792857143e-05	222.3	high
205202_at	PCMT1	4.88654668965517e-05	844.4	low
208696_at	CCT5	5.78799906666667e-05	2008	high
204000_at	GNB5	6.39645209677419e-05	168.1	low
227288_at	SREK1IP1	7.3469144375e-05	250.5	low
221217_s_at	RBFOX1	8.98901333333333e-05	119.7	low
218396_at	VPS13C	0.000105808937142857	593.4	low
204141_at	TUBB2A	0.000107430497058824	2421.6	low
209019_s_at	PINK1	0.000145560472972973	146.4	low
205326_at	RAMP3	0.000147387961111111	56.5	low
212680_x_at	PPP1R14B	0.000156470513157895	288.4	high
229280_s_at	CASC15	0.000171789594871795	76	low
208066_s_at	GTF2B	0.0001771841225	338.7	low
226561_at	AGFG1	0.000180739497560976	307.5	low
218020_s_at	ZFAND3	0.000180948611904762	217.8	low
204405_x_at	DIMT1	0.00018829613255814	386.6	high
223301_s_at	CCDC82	0.000199054075	382.7	low
218217_at	SCPEP1	0.000217747542222222	216.4	low
208634_s_at	MACF1	0.000258902436170213	773	low
226679_at	SLC26A11	0.0002597056	210.2	low
224946_s_at	CCDC115	0.000418309145833333	252.2	low
203466_at	MPV17	0.000749855857142857	193.2	high
33736_at	STOML1	0.00081608186	95.4	low
222005_s_at	GNG3	0.000986322980392157	282.7	low
201053_s_at	PSMF1	0.00205050661538462	405.7	high
207353_s_at	HMX1	0.00224392860377359	55.5	low
219305_x_at	FBXO2	0.00231734881481481	28.4	low
205174_s_at	QPCT	0.0026417248	100.1	low
230339_at	CCDC138	0.00344093101785714	110.7	high
219147_s_at	NMRK1	0.00367551742105263	107.1	low
202331_at	BCKDHA	0.0041552589137931	117.2	high
211474_s_at	SERPINB6	0.00462981423728814	277.8	low
202207_at	ARL4C	0.00508608803278689	460.2	low
204072_s_at	FRY	0.00510444366666667	406.6	low
202675_at	SDHB	0.00916786306451613	164.2	low
217923_at	PEF1	0.00966741111111111	157.9	low
214687_x_at	ALDOA	0.01005196671875	1113.1	high
223179_at	YPEL3	0.0135589706153846	244.8	low
227626_at	PAQR8	0.015679905	194.7	low
239139_at	CPNE9	0.0166228174626866	19.4	low
225367_at	PGM2	0.0176043352941176	192.2	high
204084_s_at	CLN5	0.0180970533333333	94.8	low
213609_s_at	SEZ6L	0.0194068920833333	99.7	low
226319_s_at	ALYREF	0.0195356841428571	279.2	high
214733_s_at	YIPF1	0.01962774	142.3	low
202763_at	CASP3	0.0200931925333333	533.3	low
224707_at	CYSTM1	0.0202785995945946	235.8	low
1553901_x_at	ZNF486	0.0203885075342466	38.5	high
225770_at	RSPRY1	0.0237267671428571	631.5	low
203881_s_at	DMD	0.0239613636842105	102.7	low
243116_at	PIP5KL1	0.0242001311538462	21.1	low
205265_s_at	SPEG	0.0243005218987342	160.2	low
204703_at	IFT88	0.02724095275	118.5	low
204121_at	GADD45G	0.0291900155555556	32.8	low
224955_at	TEAD1	0.0301287826829268	629.8	low
213070_at	PIK3C2A	0.0330881325301205	695.4	high
227461_at	STON2	0.0338691702380952	107.9	low
227798_at	SMAD1	0.0351646188235294	437.8	low
213883_s_at	TM2D1	0.0359827779069767	677.2	low
239221_at	ADGRA1	0.0363086988505747	27.7	low
214683_s_at	CLK1	0.0403986375	762.7	low
203725_at	GADD45A	0.0427294258426966	252.7	low
213464_at	SHC2	0.0454759066666667	175	low
