#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-26 (14:18:07)
#Dataset: ps_avgpres_nbadam88_u133p2
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 31/84
#Survival: overall-c1103
#filter: manual gene selection (96)
#H:probeset	hugo	pvalue	express	sublist
236308_at	VSTM2A	2.447508e-08	511.7	low
208605_s_at	NTRK1	3.4067628e-08	129.6	low
1569631_at	NMNAT1	5.19176e-08	20.2	low
208300_at	PTPRH	4.522686e-07	26	low
225575_at	LIFR	8.212596e-07	358.4	low
227219_x_at	MAP1LC3A	2.45469e-06	170.1	low
225129_at	CPNE2	2.792772e-06	322.7	low
227123_at	RAB3B	5.5555815e-06	106.4	low
221656_s_at	ARHGEF10L	2.03566533333333e-05	165.8	low
214145_s_at	SPTB	4.0244064e-05	40.2	low
212322_at	SGPL1	5.89716654545455e-05	278.2	low
48825_at	ING4	6.062609e-05	149.4	low
204141_at	TUBB2A	9.32871692307692e-05	2421.6	low
209019_s_at	PINK1	0.000127725	146.4	low
201805_at	PRKAG1	0.00041132616	147.8	low
219671_at	HPCAL4	0.0007158795	59.8	low
218611_at	IER5	0.00165354988235294	225.3	high
207353_s_at	HMX1	0.00219366933333333	55.5	low
205545_x_at	DNAJC8	0.00291831473684211	427	low
202331_at	BCKDHA	0.0040008738	117.2	high
227108_at	STARD9	0.00546032	48	low
222999_s_at	CCNL2	0.00605884363636364	827.9	low
205377_s_at	ACHE	0.00650043130434783	10.9	low
218977_s_at	TRNAU1AP	0.009008545	110.3	low
223179_at	YPEL3	0.0117046608	244.8	low
206983_at	CCR6	0.0152904553846154	2.5	low
220138_at	HAND1	0.01760052	110.4	low
206298_at	ARHGAP22	0.0177336	6.4	low
205150_s_at	TRIL	0.0186199903448276	161.6	low
230002_at	GPSM2	0.03248532	152.2	low
226741_at	SLC12A6	0.042793664516129	235.2	low
