#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-26 (13:01:56)
#Dataset: ps_bell_jb1912b97_ensh38e98
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 32/104
#Subset: WITH_SURV (n=95)
#Subset_string: WITH_SURV:f______9________gA
#Survival: overall
#filter: manual gene selection (114)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000116396	KCNC4	1.8375864e-09	34.6933	low
ENSG00000166501	PRKCB	1.9427616e-09	21.6176	low
ENSG00000116983	HPCAL4	2.3680072e-09	9.402	low
ENSG00000115935	WIPF1	1.6838172e-08	17.3373	low
ENSG00000169213	RAB3B	7.54804266666667e-08	15.6249	low
ENSG00000187957	DNER	7.7219168e-08	10.8784	low
ENSG00000170419	VSTM2A	9.53041142857143e-07	20.1379	low
ENSG00000149295	DRD2	3.978988e-06	38.477	low
ENSG00000080031	PTPRH	3.951584e-05	11.2691	low
ENSG00000205710	C17ORF107	6.093308e-05	1.5855	low
ENSG00000010278	CD9	8.11078981818182e-05	44.0716	low
ENSG00000272636	DOC2B	0.000114949466666667	79.6265	low
ENSG00000106617	PRKAG2	0.0003381984	28.0732	low
ENSG00000005238	FAM214B	0.000361824171428571	17.1018	low
ENSG00000221978	CCNL2	0.000497795306666667	49.1571	low
ENSG00000087085	ACHE	0.0008603335	30.1198	low
ENSG00000178028	DMAP1	0.00179278258823529	24.0815	low
ENSG00000163517	HDAC11	0.00769784888888889	12.1249	low
ENSG00000101460	MAP1LC3A	0.00874432	24.2592	low
ENSG00000090238	YPEL3	0.00950872	51.8837	low
ENSG00000196747	HIST1H2AI	0.0119182019047619	111.0153	high
ENSG00000078328	RBFOX1	0.0122888290909091	70.317	low
ENSG00000166224	SGPL1	0.0126129391304348	113.9278	low
ENSG00000116544	DLGAP3	0.0130786933333333	7.6955	low
ENSG00000146112	PPP1R18	0.014808352	9.9637	low
ENSG00000104332	SFRP1	0.01879312	140.2214	low
ENSG00000140941	MAP1LC3B	0.0259985748148148	54.5683	low
ENSG00000196972	SMIM10L2B	0.0300647285714286	9.0354	low
ENSG00000169926	KLF13	0.032351244137931	67.2152	low
ENSG00000171951	SCG2	0.041262325	378.4914	low
ENSG00000165633	VSTM4	0.04238312	20.0301	low
ENSG00000175264	CHST1	0.0425933677419355	65.6361	low
