#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-28 (05:23:47)
#Dataset: ps_avgpres_nbadam88_u133p2
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 41/148
#Survival: overall-c1103
#filter: manual gene selection (179)
#H:probeset	hugo	pvalue	express	sublist
209247_s_at	ABCF2	4.063414e-10	208.4	high
204105_s_at	NRCAM	4.4801672e-08	666.1	low
231489_x_at	CREG2	6.5957014e-08	2.8	low
214427_at	NOP2	9.400183e-08	185.1	high
210762_s_at	DLC1	1.06158032e-07	374.8	low
206448_at	ZNF365	1.31899326666667e-07	61.3	low
208869_s_at	GABARAPL1	8.621037e-07	158.7	low
212805_at	PRUNE2	9.280044e-07	369.6	low
209031_at	CADM1	9.40684711111111e-07	1385.4	low
223907_s_at	PINX1	2.6676852e-06	115.3	high
219714_s_at	CACNA2D3	3.45436036363636e-06	479.9	low
227123_at	RAB3B	6.52560366666667e-06	106.4	low
232313_at	TMEM132C	1.16086646153846e-05	140.4	low
221656_s_at	ARHGEF10L	2.30570257142857e-05	165.8	low
205758_at	CD8A	3.348648e-05	33	low
214145_s_at	SPTB	4.431638e-05	40.2	low
212701_at	TLN2	4.96608244444444e-05	82.4	low
217897_at	FXYD6	5.20360164705882e-05	505.8	low
200666_s_at	DNAJB1	5.30287115789474e-05	703.2	high
213841_at	TNR	5.5030988e-05	110.5	low
212914_at	CBX7	0.000216931352380952	58.6	low
226086_at	SYT13	0.000285376290909091	161.2	low
206833_s_at	ACYP2	0.000523804817391304	106.4	low
205883_at	ZBTB16	0.000652747833333333	30.8	low
209071_s_at	RGS5	0.00084214368	1503.6	low
209326_at	SLC35A2	0.00109723215384615	126	high
209163_at	CYB561	0.00206608548148148	251.1	low
205896_at	SLC22A4	0.00228446985714286	27.5	low
207353_s_at	HMX1	0.00239898813793103	55.5	low
203837_at	MAP3K5	0.00242464946666667	80	low
231986_at	RIMS1	0.00314576864516129	90.3	low
222662_at	PPP1R3B	0.0036344545	48.9	low
229829_at	LINC00526	0.00421695503030303	130.5	low
204136_at	COL7A1	0.00453728823529412	44.9	low
214247_s_at	DKK3	0.00529907657142857	299.3	low
222999_s_at	CCNL2	0.00652367555555556	827.9	low
206298_at	ARHGAP22	0.0236448	6.4	low
243954_at	LINC00877	0.0431244736842105	9.5	low
227348_at	PARS2	0.04613012	73.4	high
212530_at	NEK7	0.0464067282051282	555	low
219282_s_at	TRPV2	0.0487789951219512	58.2	low
