#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-26 (14:23:13)
#Dataset: ps_avgpres_nbadam88_u133p2
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 28/92
#Survival: overall-c1103
#filter: manual gene selection (114)
#H:probeset	hugo	pvalue	express	sublist
227498_at	SOX6	2.9001988e-07	32	low
213965_s_at	CHD5	9.810052e-07	51.9	low
208300_at	PTPRH	9.906836e-07	26	low
212805_at	PRUNE2	1.0095183e-06	369.6	low
223557_s_at	TMEFF2	1.62414408e-06	457.2	low
227219_x_at	MAP1LC3A	2.68847e-06	170.1	low
59697_at	RAB15	5.821484e-06	163.6	low
227123_at	RAB3B	6.0846845e-06	106.4	low
200620_at	TMEM59	1.89152e-05	1085.7	low
212322_at	SGPL1	7.1046816e-05	278.2	low
48825_at	ING4	7.24363672727273e-05	149.4	low
221217_s_at	RBFOX1	8.98901333333333e-05	119.7	low
204141_at	TUBB2A	0.000102171661538462	2421.6	low
201805_at	PRKAG1	0.000482678657142857	147.8	low
208786_s_at	MAP1LC3B	0.000715257066666667	609.1	low
219671_at	HPCAL4	0.0007840585	59.8	low
209326_at	SLC35A2	0.00104315552941176	126	high
218611_at	IER5	0.001710418	225.3	high
1553601_a_at	TMIE	0.00227986652631579	30.6	low
205750_at	BPHL	0.0029034188	173.7	low
202037_s_at	SFRP1	0.00634747428571429	471.3	low
222999_s_at	CCNL2	0.00663587636363636	827.9	low
208606_s_at	WNT4	0.00826972	11.5	low
213280_at	RAP1GAP2	0.0128240272	390.7	low
223179_at	YPEL3	0.0133535316666667	244.8	low
200078_s_at	ATP6V0B	0.0137377584615385	737.1	low
227679_at	HDAC11	0.0147727125925926	41.9	low
226245_at	KCTD1	0.0457594857142857	260.1	low
