#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-26 (14:24:16)
#Dataset: ps_avgpres_nbadam88_u133p2
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 21/69
#Survival: overall-c1103
#filter: manual gene selection (81)
#H:probeset	hugo	pvalue	express	sublist
236308_at	VSTM2A	4.020906e-08	511.7	low
1569631_at	NMNAT1	6.39699e-08	20.2	low
208300_at	PTPRH	4.953418e-07	26	low
213965_s_at	CHD5	5.51815425e-07	51.9	low
227219_x_at	MAP1LC3A	2.419623e-06	170.1	low
227123_at	RAB3B	6.0846845e-06	106.4	low
48825_at	ING4	7.470000375e-05	149.4	low
212322_at	SGPL1	7.61215885714286e-05	278.2	low
204141_at	TUBB2A	0.000110685966666667	2421.6	low
201805_at	PRKAG1	0.00050681259	147.8	low
219671_at	HPCAL4	0.000855336545454545	59.8	low
1557118_a_at	INTS6-AS1	0.00132544975	29.4	low
218611_at	IER5	0.00177620330769231	225.3	high
205750_at	BPHL	0.00311080585714286	173.7	low
212817_at	DNAJB5	0.0038044208	181.4	high
222999_s_at	CCNL2	0.0068432475	827.9	low
223179_at	YPEL3	0.0141390335294118	244.8	low
200078_s_at	ATP6V0B	0.0148825716666667	737.1	low
206298_at	ARHGAP22	0.0214669894736842	6.4	low
205150_s_at	TRIL	0.0221777385	161.6	low
228658_at	MIAT	0.03172689	1126.9	low
