#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-26 (14:33:51)
#Dataset: ps_avgpres_2010fwr144_gencode19
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 26/73
#Subset: WITH_SURV (n=139)
#Subset_string: WITH_SURV:___________________-D___
#Survival: overall
#filter: manual gene selection (81)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000159479.12	MED8	5.4673131e-10	20.822	low
ENSG00000158555.10	GDPD5	2.2103159e-06	11.378	low
ENSG00000116983.8	HPCAL4	1.3700275e-05	3.962	low
ENSG00000117410.9	ATP6V0B	0.000186962125	64.028	low
ENSG00000116396.9	KCNC4	0.00030854472	3.412	low
ENSG00000170419.6	VSTM2A	0.000445165471428571	99.876	low
ENSG00000137267.5	TUBB2A	0.000462289533333333	315.069	low
ENSG00000090238.7	YPEL3	0.000791046655555555	119.524	low
ENSG00000178028.9	DMAP1	0.00080137575	65.133	low
ENSG00000111653.15	ING4	0.000990087769230769	89.696	low
ENSG00000205710.3	C17ORF107	0.00106636575	2.388	low
ENSG00000101460.8	MAP1LC3A	0.001093321	155.928	low
ENSG00000116254.13	CHD5	0.0012005872	143.63	low
ENSG00000236778.3	INTS6-AS1	0.00130963564285714	2.29	low
ENSG00000163932.9	PRKCD	0.0019916298	25.27	low
ENSG00000169213.6	RAB3B	0.00315299023529412	38.4	low
ENSG00000139636.11	LMBR1L	0.0032171693125	91.414	low
ENSG00000225783.2	MIAT	0.00404680366666667	97.02	low
ENSG00000157423.13	HYDIN	0.00474388578947368	1.317	low
ENSG00000221978.7	CCNL2	0.005501718	126.36	low
ENSG00000080031.5	PTPRH	0.00560520545454546	47.631	low
ENSG00000159348.8	CYB5R1	0.00562027	32.852	low
ENSG00000116212.10	LRRC42	0.0102602452173913	27.412	low
ENSG00000168490.9	PHYHIP	0.0163831466666667	15.805	low
ENSG00000170545.12	SMAGP	0.0247069376	2.661	low
ENSG00000102032.8	RENBP	0.0251586638461538	15.614	low
