#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-04-17 (05:21:32)
#Dataset: ps_bell_jb1912c97_ensh38e98
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 895/12395
#Subset: WITH_SURV (n=95)
#Subset_string: WITH_SURV:f______9________gA
#Survival: overall
#filter: manual gene selection (0)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000149295	DRD2	0.000541973145714286	38.477	low
ENSG00000019144	PHLDB1	0.000632301300555075	180.4537	low
ENSG00000107282	APBA1	0.00075876156066609	37.8467	low
ENSG00000153930	ANKFN1	0.000948451950832612	63.8635	low
ENSG00000149260	CAPN5	0.00126460260111015	41.4171	low
ENSG00000069424	KCNAB2	0.0014079795665914	50.3287	low
ENSG00000183287	CCBE1	0.00143383734205668	35.1025	low
ENSG00000155980	KIF5A	0.00144257937876659	498.2613	low
ENSG00000127124	HIVEP3	0.0014615682695965	93.9379	low
ENSG00000116731	PRDM2	0.00146429874925506	101.7592	low
ENSG00000174282	ZBTB4	0.001468834623153	130.8637	low
ENSG00000100433	KCNK10	0.00148511602546267	42.2860	low
ENSG00000058404	CAMK2B	0.00149630647201181	133.7330	low
ENSG00000137218	FRS3	0.00152531119714069	35.0331	low
ENSG00000184156	KCNQ3	0.00153152590125838	53.8751	low
ENSG00000277363	SRCIN1	0.00159162907527724	77.0237	low
ENSG00000275832	ARHGAP23	0.00163148271294747	84.2311	low
ENSG00000164330	EBF1	0.00166397585142621	280.1104	low
ENSG00000109906	ZBTB16	0.00166618823756844	17.6904	low
ENSG00000139998	RAB15	0.00167809650474597	71.5053	low
ENSG00000176438	SYNE3	0.00168508594275753	71.4895	low
ENSG00000160094	ZNF362	0.00168872406621771	87.2312	low
ENSG00000095203	EPB41L4B	0.00177316026952859	49.9976	low
ENSG00000144339	TMEFF2	0.00186648449424063	29.9524	low
ENSG00000116254	CHD5	0.00189690390166522	133.3815	low
ENSG00000170271	FAXDC2	0.00197017807725399	50.1028	low
ENSG00000011021	CLCN6	0.00208607090532776	104.6178	low
ENSG00000104368	PLAT	0.00221645033691074	32.6122	low
ENSG00000154556	SORBS2	0.00236421369270479	288.8726	low
ENSG00000173801	JUP	0.00253308609932656	188.4345	low
ENSG00000155265	GOLGA7B	0.00271268907124205	21.7395	low
ENSG00000117650	NEK2	0.0027130285991178	6.4345	high
ENSG00000036565	SLC18A1	0.00272793887619784	73.0891	low
ENSG00000093009	CDC45	0.00273254679047836	14.3621	high
ENSG00000165434	PGM2L1	0.00273265522932546	67.4323	low
ENSG00000107551	RASSF4	0.00273548477772308	34.7773	low
ENSG00000100307	CBX7	0.0027398978694629	22.8994	low
ENSG00000183439	TRIM61	0.00274505689262916	3.3018	high
ENSG00000140323	DISP2	0.00274897842048314	78.0546	low
ENSG00000157168	NRG1	0.00275304817879804	82.8723	low
ENSG00000185513	L3MBTL1	0.00275378911316319	58.2276	low
ENSG00000139211	AMIGO2	0.00275676814585765	10.3683	low
ENSG00000215788	TNFRSF25	0.00276373947581537	15.7119	low
ENSG00000141503	MINK1	0.00276440057376844	105.3907	low
ENSG00000088538	DOCK3	0.0027670337989319	73.7741	low
ENSG00000107863	ARHGAP21	0.00276904395639908	334.6436	low
ENSG00000088854	C20ORF194	0.00277374778916494	108.1905	low
ENSG00000160949	TONSL	0.0027767413385636	24.4406	high
ENSG00000087085	ACHE	0.00277682100691176	42.5949	low
ENSG00000135525	MAP7	0.00277732577225005	114.5387	low
ENSG00000070182	SPTB	0.00277946749454595	74.9322	low
ENSG00000112137	PHACTR1	0.00278400625159659	133.9503	low
ENSG00000167601	AXL	0.00278567391609962	32.8196	low
ENSG00000187957	DNER	0.00279476102999195	37.2345	low
ENSG00000078328	RBFOX1	0.00279700729488224	70.3170	low
ENSG00000184828	ZBTB7C	0.00279834675115138	37.2005	low
ENSG00000079277	MKNK1	0.00279908278774986	30.5493	low
ENSG00000221866	PLXNA4	0.00280126823580393	370.9889	low
ENSG00000206579	XKR4	0.00280423276741951	29.0973	low
ENSG00000171680	PLEKHG5	0.00280795930742842	40.2957	low
ENSG00000008513	ST3GAL1	0.00281175021540216	65.9211	low
ENSG00000091129	NRCAM	0.00281609508365601	272.0384	low
ENSG00000150907	FOXO1	0.00282520784375	21.1555	low
ENSG00000161395	PGAP3	0.00282562709002831	29.9402	low
ENSG00000091656	ZFHX4	0.00282876196581457	165.0404	low
ENSG00000186472	PCLO	0.0028447864319005	446.9557	low
ENSG00000069667	RORA	0.00285041329257242	55.9261	low
ENSG00000178764	ZHX2	0.00285065901085918	36.6444	low
ENSG00000116350	SRSF4	0.00285495420623878	86.6962	low
ENSG00000138411	HECW2	0.00287096156087083	83.3876	low
ENSG00000079308	TNS1	0.00287657409277608	200.2072	low
ENSG00000132879	FBXO44	0.00288163602125036	29.0856	low
ENSG00000132669	RIN2	0.00289049191162506	41.7398	low
ENSG00000151474	FRMD4A	0.00290382879242175	95.1044	low
ENSG00000170419	VSTM2A	0.00290563864029331	259.3195	low
ENSG00000145242	EPHA5	0.00293331138924849	96.9272	low
ENSG00000188997	KCTD21	0.00293621494263759	10.3123	low
ENSG00000175106	TVP23C	0.00294022018425459	18.8193	low
ENSG00000122679	RAMP3	0.00295526711588099	19.5657	low
ENSG00000135926	TMBIM1	0.0029615163064528	37.4732	low
ENSG00000196159	FAT4	0.00296465918552023	182.0704	low
ENSG00000112320	SOBP	0.00297368431564082	46.9436	low
ENSG00000164741	DLC1	0.00299026889195234	352.7188	low
ENSG00000147234	FRMPD3	0.0029912259166984	27.7289	low
ENSG00000141068	KSR1	0.00299299395405408	86.2121	low
ENSG00000050165	DKK3	0.00299671403156544	49.5169	low
ENSG00000169554	ZEB2	0.00301255600604136	174.2125	low
ENSG00000099250	NRP1	0.00301958525363815	287.7798	low
ENSG00000075790	BCAP29	0.00302698387026812	25.8946	low
