#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-04-17 (03:26:38)
#Dataset: ps_avgpres_nbadam88_u133p2
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 3074/12121
#Survival: overall-c1103
#filter: manual gene selection (0)
#H:probeset	hugo	pvalue	express	sublist
204151_x_at	AKR1C1	3.121509009e-13	707.9	low
210139_s_at	PMP22	3.9333917705e-13	1385.9	low
209699_x_at	AKR1C2	1.657522508e-12	295.1	low
226277_at	COL4A3BP	2.05819832433333e-12	297.9	low
218305_at	IPO4	5.225435826e-12	74.3	high
203266_s_at	MAP2K4	6.09535653285714e-12	245.4	low
202741_at	PRKACB	7.03159411666667e-12	1943.5	low
229256_at	PGM2L1	9.87231208e-12	468.2	low
203855_at	WDR47	1.086779465875e-11	345.9	low
203119_at	CCDC86	1.29803789e-11	88.4	high
223032_x_at	PRELID1	1.38858176e-11	896.9	high
205359_at	AKAP6	1.730333355e-11	93.6	low
214011_s_at	NOP16	4.75562773076923e-11	241.1	high
217926_at	C19ORF53	5.33537849071429e-11	667.7	high
226203_at	MYO9A	5.547975636e-11	191.4	low
226568_at	FAM102B	6.01321294875e-11	336.4	low
202342_s_at	TRIM2	6.90795041e-11	733.6	low
229199_at	SCN9A	6.98947895789474e-11	135.8	low
221549_at	GRWD1	7.15560349047619e-11	57.6	high
225132_at	FBXL3	7.253630635e-11	399.5	low
242007_at	FBXO30	7.25462051666667e-11	162.6	low
228724_at	TTLL7	7.84812711818182e-11	222.6	low
208361_s_at	POLR3D	1.23039744e-10	90.5	high
213097_s_at	DNAJC2	1.23698340291667e-10	582.7	high
203080_s_at	BAZ2B	1.38447460576923e-10	337.9	low
212739_s_at	NME4	1.408872314e-10	268.9	high
210432_s_at	SCN3A	2.0721073962963e-10	1140.2	low
218313_s_at	GALNT7	2.88798289724138e-10	218.6	high
218882_s_at	WDR3	2.9161610875e-10	304.8	high
209379_s_at	CCSER2	3.074685586e-10	442.4	low
219425_at	SULT4A1	3.39999133e-10	177.6	low
208815_x_at	HSPA4	3.6175616915625e-10	416.6	high
223100_s_at	NUDT5	4.28047605454545e-10	365	high
202890_at	MAP7	4.40730255e-10	436.9	low
225798_at	JAZF1	6.75110216486486e-10	308.1	low
203550_s_at	FAM189B	6.817759475e-10	253.6	high
229276_at	IGSF9	6.87378446857143e-10	67.7	high
224885_s_at	KRTCAP2	6.98147844358974e-10	829.2	high
208758_at	ATIC	7.01665551578947e-10	679.3	high
229300_at	RAB3C	7.06172345952381e-10	357.2	low
229057_at	SCN2A	7.07547115121951e-10	242.7	low
219110_at	GAR1	7.150602135e-10	180.1	high
227761_at	MYO5A	7.5057460255814e-10	423.6	low
209247_s_at	ABCF2	7.56336626136364e-10	208.4	high
218984_at	PUS7	8.75128295e-10	270.5	high
224671_at	MRPL10	8.88455832222222e-10	541.7	high
224654_at	DDX21	1.03326727104167e-09	1343	high
210243_s_at	B4GALT3	1.0426823588e-09	256.5	high
210386_s_at	MTX1	1.04365420510638e-09	231.7	high
203712_at	PUM3	1.04880291959184e-09	218	high
213175_s_at	SNRPB	1.15847804277778e-09	947.1	high
220417_s_at	THAP4	1.16665065763636e-09	286.7	high
223096_at	NOP58	1.1705321e-09	1230.9	high
221569_at	AHI1	1.17788676226415e-09	390.4	low
225082_at	CPSF3	1.18918664807692e-09	521	high
204366_s_at	GTF3C2	1.213493915e-09	466.3	high
218652_s_at	PIGG	1.23748179929825e-09	297	high
219537_x_at	DLL3	1.30964688224138e-09	84.3	high
226509_at	ZNF641	1.37649979372881e-09	221.2	low
225512_at	ZBTB38	1.41783781366667e-09	466.8	low
215016_x_at	DST	1.64083169229508e-09	1124.4	low
208676_s_at	PA2G4	1.70928778e-09	390.5	high
208916_at	SLC1A5	1.79624946936508e-09	78.6	high
223413_s_at	LYAR	1.81458756234375e-09	140.8	high
219162_s_at	MRPL11	1.82362465166667e-09	186.2	high
224801_at	NDFIP2	1.83619723661538e-09	198.1	low
214762_at	ATP6V1G2	2.0968606358209e-09	227.2	low
230454_at	ICA1L	2.348639825e-09	163.8	low
202794_at	INPP1	2.54516758e-09	397.1	low
227031_at	SNX13	2.55192723333333e-09	328.2	low
200790_at	ODC1	2.63481517887324e-09	2753	high
218647_s_at	YRDC	2.67973424861111e-09	177.4	high
221712_s_at	WDR74	2.90955472739726e-09	152.2	high
229497_at	ANKDD1A	3.08025731486486e-09	107.6	low
226186_at	TMOD2	3.64373208684211e-09	690	low
218001_at	MRPS2	3.67038047402597e-09	238.2	high
200058_s_at	SNRNP200	3.67114383466667e-09	1732.6	high
200076_s_at	KXD1	3.81387265e-09	283.7	high
204723_at	SCN3B	4.1586537278481e-09	260.3	low
1557073_s_at	TTBK2	4.25610209753086e-09	169.5	low
225996_at	LONRF2	4.281925065e-09	465.1	low
207396_s_at	ALG3	4.50861289390244e-09	70.7	high
224764_at	ARHGAP21	4.65409890963855e-09	561.7	low
201133_s_at	PJA2	5.18933198452381e-09	616.8	low
201952_at	ALCAM	5.30473426e-09	1867.8	low
204062_s_at	ULK2	5.79864411744186e-09	254	low
212062_at	ATP9A	7.38308016022727e-09	694	low
226018_at	MTURN	7.41331505747126e-09	430.1	low
205811_at	POLG2	7.43864408089888e-09	213.6	high
204027_s_at	METTL1	7.67855922555556e-09	80.3	high
228567_at	GAN	7.76683044505494e-09	112.8	low
1552257_a_at	TTLL12	8.309617425e-09	197.3	high
222605_at	RCOR3	8.68134693333333e-09	528.9	low
239765_at	CPEB3	8.92322230638298e-09	97.1	low
1552427_at	ZNF485	9.46872105684211e-09	34.3	high
225144_at	BMPR2	1.04945385645833e-08	969.3	low
201365_at	OAZ2	1.0859116428866e-08	283.5	low
224626_at	SLC35A4	1.24412882424242e-08	132.3	high
