#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-04-17 (05:23:35)
#Dataset: ps_bell_jb1912c97_ensh38e98
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 13/51
#Subset: WITH_SURV (n=95)
#Subset_string: WITH_SURV:f______9________gA
#Survival: overall
#filter: manual gene selection (0)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000116731	PRDM2	0.00015062391	101.7592	low
ENSG00000157168	NRG1	0.000379474425	82.8723	low
ENSG00000165731	RET	0.000451072029082132	14.9194	high
ENSG00000198400	NTRK1	0.00058286625	157.4466	low
ENSG00000106772	PRUNE2	0.0032591448	181.7555	low
ENSG00000197535	MYO5A	0.011005205	184.1659	low
ENSG00000117713	ARID1A	0.02443529	359.5101	low
ENSG00000085185	BCORL1	0.0258053330769231	42.0739	low
ENSG00000100345	MYH9	0.0261426927272727	346.3565	low
ENSG00000041982	TNC	0.0287569610762122	160.4749	low
ENSG00000066468	FGFR2	0.0301349662759298	6.1849	high
ENSG00000198793	MTOR	0.0308240033333333	185.5116	low
ENSG00000141027	NCOR1	0.03263725875	404.8062	low
