#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-29 (15:52:33)
#Dataset: ps_bell_jb1912c97_ensh38e98
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 38/104
#Subset: WITH_SURV (n=95)
#Subset_string: WITH_SURV:f______9________gA
#Survival: overall
#filter: manual gene selection (111)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000149295	DRD2	3.1831904e-05	38.477	low
ENSG00000183287	CCBE1	8.4214e-05	35.1025	low
ENSG00000170271	FAXDC2	9.91844533333333e-05	50.1028	low
ENSG00000122679	RAMP3	0.00014877668	19.5657	low
ENSG00000139211	AMIGO2	0.000233233866666667	10.3683	low
ENSG00000187957	DNER	0.0002381016	37.2345	low
ENSG00000135525	MAP7	0.000247860363636364	114.5387	low
ENSG00000135926	TMBIM1	0.0002584244	37.4732	low
ENSG00000123454	DBH	0.000279376355555556	498.9925	low
ENSG00000198400	NTRK1	0.0002971475	157.4466	low
ENSG00000158856	DMTN	0.000339597142857143	47.2026	low
ENSG00000109099	PMP22	0.000396196666666667	134.1225	low
ENSG00000125355	TMEM255A	0.000475436	49.9976	low
ENSG00000010278	CD9	0.00117890685714286	54.2706	low
ENSG00000080031	PTPRH	0.001242397	61.6342	low
ENSG00000182718	ANXA2	0.00125767811764706	149.53	low
ENSG00000159713	TPPP3	0.00132522346666667	20.6643	low
ENSG00000117602	RCAN3	0.0050004396	11.1233	low
ENSG00000165646	SLC18A2	0.00504325557894737	60.7391	low
ENSG00000187688	TRPV2	0.00508368	22.7155	low
ENSG00000143248	RGS5	0.0051333984	694.4536	low
ENSG00000205710	C17ORF107	0.00519470956521739	7.4282	low
ENSG00000197956	S100A6	0.00525369	11.0966	low
ENSG00000139112	GABARAPL1	0.00526046857142857	36.8997	low
ENSG00000132437	DDC	0.00529452857142857	111.9374	low
ENSG00000157191	NECAP2	0.00532343644444444	42.69	low
ENSG00000155366	RHOC	0.00535823407407407	36.6337	low
ENSG00000197747	S100A10	0.0053794	5.201	low
ENSG00000112759	SLC29A1	0.005463328	148.3743	low
ENSG00000115107	STEAP3	0.00560527724137931	14.7194	low
ENSG00000118507	AKAP7	0.00572781677419355	6.6453	low
ENSG00000074370	ATP2A3	0.0158621105882353	29.7677	low
ENSG00000106211	HSPB1	0.016050255	69.0529	low
ENSG00000092929	UNC13D	0.01605032	38.6177	low
ENSG00000120885	CLU	0.0161631748571429	232.121	low
ENSG00000145861	C1QTNF2	0.0166906133333333	5.6372	low
ENSG00000173281	PPP1R3B	0.0178931718918919	17.6873	low
ENSG00000100311	PDGFB	0.0203056168421053	16.532	low
