#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-29 (16:06:14)
#Dataset: ps_avgpres_nbadam88_u133p2
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 32/94
#Survival: overall-c1103
#filter: manual gene selection (111)
#H:probeset	hugo	pvalue	express	sublist
210139_s_at	PMP22	6.1007974e-15	1385.9	low
202890_at	MAP7	5.810469e-11	436.9	low
209247_s_at	ABCF2	8.60272333333333e-11	208.4	high
219895_at	TMEM255A	8.0834172e-09	292	low
208605_s_at	NTRK1	9.5308245e-09	129.6	low
226281_at	DNER	3.61271766666667e-08	104.7	low
208300_at	PTPRH	2.89205771428571e-07	26	low
205857_at	SLC18A2	3.34941975e-07	209.8	low
208869_s_at	GABARAPL1	4.867132e-07	158.7	low
201005_at	CD9	5.4931532e-07	461	low
223907_s_at	PINX1	1.54030963636364e-06	115.3	high
229641_at	CCBE1	2.34388216666667e-05	82.4	low
200666_s_at	DNAJB1	4.92251969230769e-05	703.2	high
220751_s_at	FAXDC2	7.10754142857143e-05	83.2	low
213418_at	HSPA6	0.000114209373333333	90.3	high
205326_at	RAMP3	0.000123211675	56.5	low
225681_at	CTHRC1	0.000310828694117647	752.1	high
209071_s_at	RGS5	0.000742882	1503.6	low
205771_s_at	AKAP7	0.00225604452631579	63.4	low
203752_s_at	JUND	0.0023188484	1944.3	high
205174_s_at	QPCT	0.00257062247619048	100.1	low
222662_at	PPP1R3B	0.00335762872727273	48.9	low
217911_s_at	BAG3	0.003834918	67.5	high
206450_at	DBH	0.00510980083333333	389.6	low
222108_at	AMIGO2	0.0074469432	457	low
214687_x_at	ALDOA	0.00919316384615385	1113.1	high
230695_s_at	RSPH9	0.0129339822222222	5.4	low
205780_at	BIK	0.0198417885714286	9.5	low
208792_s_at	CLU	0.0247018062068965	233.6	low
202022_at	ALDOC	0.0373750266666667	101.7	low
219282_s_at	TRPV2	0.0409752064516129	58.2	low
202283_at	SERPINF1	0.04565256875	466	high
