#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-28 (05:30:10)
#Dataset: ps_avgpres_nbadam88_u133p2
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 38/68
#Survival: overall-c1103
#filter: manual gene selection (76)
#H:probeset	hugo	pvalue	express	sublist
229256_at	PGM2L1	4.9846176e-13	468.2	low
202890_at	MAP7	4.203318e-11	436.9	low
229300_at	RAB3C	5.54637466666667e-11	357.2	low
236308_at	VSTM2A	9.90658e-09	511.7	low
204105_s_at	NRCAM	1.23507312e-08	666.1	low
204573_at	CROT	2.15511266666667e-08	265.1	low
226576_at	ARHGAP26	4.74940171428571e-08	112.8	low
222200_s_at	BSDC1	3.19532e-07	181.9	low
201005_at	CD9	4.41530044444444e-07	461	low
203697_at	FRZB	1.8925012e-06	215.6	low
235013_at	SLC31A1	4.19773633333333e-06	96.7	low
224505_s_at	PLCD4	4.47339236363636e-06	46.1	low
232313_at	TMEM132C	4.95273142857143e-06	140.4	low
209159_s_at	NDRG4	5.05325261538462e-06	297.4	low
209234_at	KIF1B	1.5978776e-05	415.8	low
209956_s_at	CAMK2B	3.149845e-05	123.1	low
205326_at	RAMP3	8.38888e-05	56.5	low
242794_at	MAML3	0.000251355577777778	337.3	low
212410_at	MICU2	0.000451562947368421	747.3	low
209071_s_at	RGS5	0.0004836636	1503.6	low
226973_at	VSTM2L	0.000618116761904762	63.1	low
203853_s_at	GAB2	0.000853842	216.9	low
213245_at	ADCY1	0.00136406368	372.9	low
1553601_a_at	TMIE	0.00139205460869565	30.6	low
203752_s_at	JUND	0.00139788733333333	1944.3	high
212646_at	RFTN1	0.00165702138461538	418.1	low
222845_x_at	TMBIM4	0.00263174571428571	914.9	low
211474_s_at	SERPINB6	0.00271919407407407	277.8	low
206450_at	DBH	0.0030591324137931	389.6	low
212120_at	RHOQ	0.00711370666666667	528.6	low
220138_at	HAND1	0.0124095832258064	110.4	low
208792_s_at	CLU	0.0157034048484848	233.6	low
205265_s_at	SPEG	0.01612430875	160.2	low
209993_at	ABCB1	0.0190189005714286	39.1	low
224955_at	TEAD1	0.01953012	629.8	low
219282_s_at	TRPV2	0.0255247444444444	58.2	low
200675_at	CD81	0.0356068216216216	1889.2	high
205311_at	DDC	0.0388555578947368	953.1	low
