#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-28 (05:28:13)
#Dataset: ps_bell_jb1912c97_ensh38e98
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 42/71
#Subset: WITH_SURV (n=95)
#Subset_string: WITH_SURV:f______9________gA
#Survival: overall
#filter: manual gene selection (76)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000058404	CAMK2B	0.00013285094	133.733	low
ENSG00000122679	RAMP3	0.00020313739	19.5657	low
ENSG00000091129	NRCAM	0.000234794633333333	272.0384	low
ENSG00000165434	PGM2L1	0.0002641439625	67.4323	low
ENSG00000135525	MAP7	0.000265905142857143	114.5387	low
ENSG00000170419	VSTM2A	0.000294040583333333	259.3195	low
ENSG00000123454	DBH	0.00034331056	498.9925	low
ENSG00000054523	KIF1B	0.000405720625	633.9832	low
ENSG00000103034	NDRG4	0.000540960833333333	337.3088	low
ENSG00000146013	GFRA3	0.00096228075	78.3658	low
ENSG00000112769	LAMA4	0.000996217705882353	160.0514	low
ENSG00000010278	CD9	0.00102432990909091	54.2706	low
ENSG00000005469	CROT	0.001055015625	15.4677	low
ENSG00000164742	ADCY1	0.00107426276923077	418.3806	low
ENSG00000140416	TPM1	0.001077425	113.1463	low
ENSG00000077549	CAPZB	0.00112231221428571	92.3988	low
ENSG00000160058	BSDC1	0.0011267629	102.7777	low
ENSG00000180176	TH	0.00363426911111111	147.9965	low
ENSG00000124570	SERPINB6	0.00366932110526316	52.0094	low
ENSG00000187688	TRPV2	0.003759805	22.7155	low
ENSG00000181585	TMIE	0.00386184434782609	7.6384	low
ENSG00000162998	FRZB	0.00388661888888889	23.1733	low
ENSG00000132437	DDC	0.003892575	111.9374	low
ENSG00000143248	RGS5	0.00398242227272727	694.4536	low
ENSG00000158710	TAGLN2	0.0040198212	131.6623	low
ENSG00000197956	S100A6	0.00409903285714286	11.0966	low
ENSG00000115556	PLCD4	0.00421169464285714	32.4675	low
ENSG00000117616	RSRP1	0.0042903525	31.1895	low
ENSG00000131378	RFTN1	0.00459609931034483	86.6981	low
ENSG00000132821	VSTM2L	0.0113524190322581	48.5802	low
ENSG00000138279	ANXA7	0.011687878	26.4444	low
ENSG00000120885	CLU	0.0117032312121212	232.121	low
ENSG00000181234	TMEM132C	0.011765188125	86.2646	low
ENSG00000196782	MAML3	0.0130583408823529	232.0182	low
ENSG00000175344	CHRNA7	0.0151222088571429	109.7179	low
ENSG00000033327	GAB2	0.01711455	331.4431	low
ENSG00000087460	GNAS	0.0389857162162162	2102.3605	low
ENSG00000136868	SLC31A1	0.0392067195121951	54.3905	low
ENSG00000152932	RAB3C	0.0401073394736842	141.9203	low
ENSG00000115306	SPTBN1	0.0401868875	979.4608	low
ENSG00000159214	CCDC24	0.0405653948717949	9.8904	low
ENSG00000145819	ARHGAP26	0.0469839119047619	140.1348	low
