#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-28 (05:18:53)
#Dataset: ps_bell_jb1912c97_ensh38e98
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 44/156
#Subset: WITH_SURV (n=95)
#Subset_string: WITH_SURV:f______9________gA
#Survival: overall
#filter: manual gene selection (179)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000186472	PCLO	0.00052273416	446.9557	low
ENSG00000070182	SPTB	0.0005286112	74.9322	low
ENSG00000091129	NRCAM	0.00058037265	272.0384	low
ENSG00000100307	CBX7	0.000600998914285714	22.8994	low
ENSG00000099250	NRP1	0.000646061	287.7798	low
ENSG00000164741	DLC1	0.0007752732	352.7188	low
ENSG00000109906	ZBTB16	0.0007758972	17.6904	low
ENSG00000050165	DKK3	0.0009428952	49.5169	low
ENSG00000169213	RAB3B	0.0012571936	111.2491	low
ENSG00000074964	ARHGEF10L	0.001782885	130.7023	low
ENSG00000110514	MADD	0.00190125	224.3382	low
ENSG00000197694	SPTAN1	0.0020475	1150.9594	low
ENSG00000082781	ITGB5	0.002165982	27.9406	low
ENSG00000116396	KCNC4	0.00224399175	72.9146	low
ENSG00000157445	CACNA2D3	0.00230651672727273	128.179	low
ENSG00000185189	NRBP2	0.00234053223529412	42.3434	low
ENSG00000140416	TPM1	0.0023673	113.1463	low
ENSG00000175874	CREG2	0.00261142266666667	7.5386	low
ENSG00000106772	PRUNE2	0.00262346021052632	181.7555	low
ENSG00000130226	DPP6	0.00651534	218.5229	low
ENSG00000139112	GABARAPL1	0.0066281904	36.8997	low
ENSG00000171914	TLN2	0.00666005373913043	329.392	low
ENSG00000182985	CADM1	0.0067956	326.246	low
ENSG00000221978	CCNL2	0.00681512236363636	91.6332	low
ENSG00000187688	TRPV2	0.00708084	22.7155	low
ENSG00000143248	RGS5	0.00712972	694.4536	low
ENSG00000132906	CASP9	0.007139652	14.8713	low
ENSG00000008283	CYB561	0.0071866392	130.8422	low
ENSG00000158710	TAGLN2	0.00761403724137931	131.6623	low
ENSG00000128805	ARHGAP22	0.00811245290322581	24.1781	low
ENSG00000109452	INPP4B	0.008163636	30.8592	low
ENSG00000197208	SLC22A4	0.0093836925	8.023	low
ENSG00000198399	ITSN2	0.0210191090909091	61.2839	low
ENSG00000167703	SLC43A2	0.0225399884210526	36.4009	low
ENSG00000141458	NPC1	0.0229342345945946	66.4196	low
ENSG00000095383	TBC1D2	0.0229428282352941	13.2418	low
ENSG00000181234	TMEM132C	0.02297802	86.2646	low
ENSG00000122756	CNTFR	0.0232394982857143	152.2821	low
ENSG00000138311	ZNF365	0.02375556	7.0713	low
ENSG00000215612	HMX1	0.0240517828571429	20.6378	low
ENSG00000197442	MAP3K5	0.0242464712195122	18.1476	low
ENSG00000173281	PPP1R3B	0.024826776	17.6873	low
ENSG00000175344	CHRNA7	0.027044631627907	109.7179	low
ENSG00000106003	LFNG	0.0294480136363636	15.5246	low
