#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-04-17 (07:07:24)
#Dataset: ps_avgpres_2010fwr144_gencode19
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 1760/12534
#Subset: WITH_SURV (n=139)
#Subset_string: WITH_SURV:___________________-D___
#Survival: overall
#filter: manual gene selection (0)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000099901.12	RANBP1	4.258789986e-09	178.106	high
ENSG00000103995.9	CEP152	1.417438725e-08	30.13	high
ENSG00000159479.12	MED8	2.3468254245e-08	20.822	low
ENSG00000214706.6	IFRD2	2.717062028e-08	48.554	high
ENSG00000114767.6	RRP9	4.786634328e-08	103.413	high
ENSG00000186862.13	PDZD7	9.52120242e-08	4.539	low
ENSG00000178104.15	PDE4DIP	1.53700502742857e-07	14.144	low
ENSG00000161888.7	SPC24	1.746894915e-07	86.255	high
ENSG00000119335.12	SET	2.48854214e-07	731.837	high
ENSG00000105281.8	SLC1A5	3.30891333e-07	94.439	high
ENSG00000148840.6	PPRC1	3.487867515e-07	75.694	high
ENSG00000101003.8	GINS1	3.70639495636364e-07	46.715	high
ENSG00000170779.10	CDCA4	6.88439591538462e-07	49.46	high
ENSG00000135924.11	DNAJB2	7.23458898857143e-07	73.606	low
ENSG00000184719.7	RNLS	7.57613452e-07	3.327	low
ENSG00000227533.1	SLC2A1-AS1	9.3542025375e-07	1.277	low
ENSG00000147536.7	GINS4	9.99756077647059e-07	8.572	high
ENSG00000178585.10	CTNNBIP1	1.25882443666667e-06	38.895	low
ENSG00000163875.11	MEAF6	1.34210773578947e-06	56.301	low
ENSG00000196132.7	MYT1	1.419744981e-06	71.778	low
ENSG00000090447.7	TFAP4	2.12239361454545e-06	31.366	high
ENSG00000156398.8	SFXN2	2.15941123714286e-06	13.188	high
ENSG00000102967.7	DHODH	2.5440209664e-06	17.376	high
ENSG00000169136.4	ATF5	2.59027644e-06	45.62	high
ENSG00000145242.9	EPHA5	2.641864295e-06	1.451	low
ENSG00000180855.11	ZNF443	2.68638329538462e-06	20.394	high
ENSG00000220205.4	VAMP2	2.75995894666667e-06	235.75	low
ENSG00000139182.9	CLSTN3	3.72983190857143e-06	117.882	low
ENSG00000173905.4	GOLIM4	3.985883026e-06	56.439	high
ENSG00000165879.7	FRAT1	4.02281755448276e-06	12.158	low
ENSG00000109339.14	MAPK10	4.24648121818182e-06	16.828	low
ENSG00000180304.10	OAZ2	4.31643541875e-06	63.521	low
ENSG00000067191.11	CACNB1	4.40371981935484e-06	27.444	low
