#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-26 (13:04:27)
#Dataset: ps_bell_jb1912b97_ensh38e98
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 23/76
#Subset: WITH_SURV (n=95)
#Subset_string: WITH_SURV:f______9________gA
#Survival: overall
#filter: manual gene selection (81)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000116396	KCNC4	1.3428516e-09	34.6933	low
ENSG00000116983	HPCAL4	1.7304668e-09	9.402	low
ENSG00000115935	WIPF1	1.6406424e-08	17.3373	low
ENSG00000116254	CHD5	8.210888e-08	42.2791	low
ENSG00000169213	RAB3B	8.273816e-08	15.6249	low
ENSG00000158555	GDPD5	1.872678e-07	18.8781	low
ENSG00000074370	ATP2A3	4.49968857142857e-07	10.1275	low
ENSG00000170419	VSTM2A	6.093965e-07	20.1379	low
ENSG00000080031	PTPRH	2.887696e-05	11.2691	low
ENSG00000163932	PRKCD	4.12583963636364e-05	9.4494	low
ENSG00000205710	C17ORF107	4.452802e-05	1.5855	low
ENSG00000221978	CCNL2	0.000454716866666667	49.1571	low
ENSG00000178028	DMAP1	0.00171322123076923	24.0815	low
ENSG00000215644	GCGR	0.00310707	2.5918	low
ENSG00000128805	ARHGAP22	0.005119512	16.4896	low
ENSG00000101460	MAP1LC3A	0.00758822	24.2592	low
ENSG00000090238	YPEL3	0.00817491764705882	51.8837	low
ENSG00000196747	HIST1H2AI	0.0101610311111111	111.0153	high
ENSG00000166224	SGPL1	0.0111576	113.9278	low
ENSG00000116544	DLGAP3	0.011469008	7.6955	low
ENSG00000172346	CSDC2	0.0148211942857143	10.0755	low
ENSG00000165633	VSTM4	0.0422349272727273	20.0301	low
ENSG00000030582	GRN	0.0423647130434783	82.2414	low
