#Program: R2: Genomics analysis and visualization platform
#Website: https://r2.amc.nl
#Support: r2-support@amsterdamumc.nl
#Date: 2025-08-26 (14:28:00)
#Dataset: ps_avgpres_2010fwr144_gencode19
#Kaplan_modus: median
#Minimal presentcalls: 1
#Multiple_testing: fdr 0.05
#Result_set (passed/total): 31/103
#Subset: WITH_SURV (n=139)
#Subset_string: WITH_SURV:___________________-D___
#Survival: overall
#filter: manual gene selection (114)
#H:probeset	hugo	pvalue	express	sublist
ENSG00000159479.12	MED8	7.7141541e-10	20.822	low
ENSG00000116983.8	HPCAL4	2.89957875e-05	3.962	low
ENSG00000116396.9	KCNC4	0.00043534392	3.412	low
ENSG00000126698.6	DNAJC8	0.000451033566666667	67.279	low
ENSG00000087085.9	ACHE	0.00049449785	58.43	low
ENSG00000170419.6	VSTM2A	0.0005495964125	99.876	low
ENSG00000137267.5	TUBB2A	0.000559089885714286	315.069	low
ENSG00000180098.5	TRNAU1AP	0.000580813566666667	19.47	low
ENSG00000090238.7	YPEL3	0.00100452089	119.524	low
ENSG00000178028.9	DMAP1	0.001005074	65.133	low
ENSG00000111653.15	ING4	0.00139697315384615	89.696	low
ENSG00000205710.3	C17ORF107	0.00150459825	2.388	low
ENSG00000101460.8	MAP1LC3A	0.001542631	155.928	low
ENSG00000042832.7	TG	0.00160751364285714	1.774	low
ENSG00000169213.6	RAB3B	0.00504190493333333	38.4	low
ENSG00000157423.13	HYDIN	0.007948445625	1.317	low
ENSG00000221978.7	CCNL2	0.00913258588235294	126.36	low
ENSG00000080031.5	PTPRH	0.00966620666666667	47.631	low
ENSG00000106617.9	PRKAG2	0.00996606315789474	14.359	low
ENSG00000166501.8	PRKCB	0.0145218155	13.404	low
ENSG00000116212.10	LRRC42	0.01513482	27.412	low
ENSG00000186654.16	PRR5	0.0151987780952381	5.676	low
ENSG00000140941.8	MAP1LC3B	0.0158540734782609	67.255	low
ENSG00000166947.7	EPB42	0.0197056166666667	3.435	low
ENSG00000131100.8	ATP6V1E1	0.0213352964	92.296	low
ENSG00000100968.9	NFATC4	0.0218099726923077	37.929	high
ENSG00000146112.7	PPP1R18	0.0236702774074074	133.849	low
ENSG00000179314.9	WSCD1	0.0242144907142857	8.62	low
ENSG00000170545.12	SMAGP	0.0290503946666667	2.661	low
ENSG00000078328.15	RBFOX1	0.0300182489655172	23.793	low
ENSG00000005238.15	FAM214B	0.0347468838709677	12.563	low
